"year","month_name","month","country","max_emails_opened","running_total_opened_emails","no_of_customers_who_sent_atleast_one_email"
"2020","November","11","Australia","75","599","3"
"2020","December","12","Australia","500","1099","4"
"2021","February","2","Australia","3","1102","2"
"2021","March","3","Australia","227","1329","3"
"2021","April","4","Australia","276","1605","1"
"2021","May","5","Australia","58","1663","3"
"2021","July","7","Australia","87","1750","1"
"2021","August","8","Australia","148","1898","1"
"2021","September","9","Australia","80","1978","2"
"2021","October","10","Australia","256","2234","2"
"2021","December","12","Australia","51","2285","2"
"2020","August","8","Austria","7","7","1"
"2020","November","11","Austria","4","11","1"
"2021","March","3","Austria","97","108","1"
"2021","April","4","Austria","17","125","1"
"2021","May","5","Austria","56","181","2"
"2021","August","8","Austria","25","206","1"
"2021","October","10","Austria","31","237","1"
"2020","July","7","Azerbaijan","1","1","1"
"2020","August","8","Azerbaijan","17","18","1"
"2020","November","11","Azerbaijan","69","87","3"
"2020","December","12","Azerbaijan","28","115","1"
"2021","March","3","Azerbaijan","72","187","2"
"2021","April","4","Azerbaijan","14","201","1"
"2021","May","5","Azerbaijan","23","224","1"
"2021","September","9","Azerbaijan","17","241","1"
"2021","October","10","Azerbaijan","7","248","1"
"2021","December","12","Azerbaijan","14","262","1"
"2020","July","7","Bahamas","155","155","3"
"2020","August","8","Bahamas","159","314","3"
"2020","November","11","Bahamas","10","324","3"
"2021","March","3","Bahamas","2","326","1"
"2021","May","5","Bahamas","44","370","1"
"2021","August","8","Bahamas","500","870","1"
"2021","September","9","Bahamas","68","938","1"
"2021","October","10","Bahamas","90","1028","1"
"2021","November","11","Bahamas","10","1038","1"
"2021","December","12","Bahamas","95","1133","2"
"2020","July","7","Bahrain","1","1","1"
"2020","November","11","Bahrain","152","153","1"
"2020","December","12","Bahrain","30","183","3"
"2021","January","1","Bahrain","9","192","1"
"2021","March","3","Bahrain","64","256","1"
"2021","April","4","Bahrain","19","275","3"
"2021","September","9","Bahrain","202","477","3"
"2021","November","11","Bahrain","1","478","1"
"2021","December","12","Bahrain","32","510","1"
"2020","July","7","Bangladesh","108","108","4"
"2020","August","8","Bangladesh","167","275","3"
"2020","November","11","Bangladesh","228","503","5"
"2020","December","12","Bangladesh","88","591","5"
"2021","January","1","Bangladesh","45","636","1"
"2021","February","2","Bangladesh","167","803","2"
"2021","March","3","Bangladesh","208","1011","4"
"2021","May","5","Bangladesh","160","1171","3"
"2021","August","8","Bangladesh","61","1232","2"
"2021","September","9","Bangladesh","500","1732","2"
"2021","October","10","Bangladesh","500","2232","4"
"2021","November","11","Bangladesh","41","2273","1"
"2021","December","12","Bangladesh","211","2484","4"
"2020","November","11","Barbados","400","400","1"
"2020","December","12","Barbados","62","462","2"
"2021","February","2","Barbados","43","505","1"
"2021","March","3","Barbados","83","588","1"
"2021","April","4","Barbados","9","597","1"
"2021","May","5","Barbados","76","673","2"
"2021","August","8","Barbados","4","677","1"
"2021","October","10","Barbados","347","1024","3"
"2021","December","12","Barbados","216","1240","2"
"2020","December","12","Belarus","19","19","1"
"2021","May","5","Belarus","14","33","1"
"2021","July","7","Belarus","6","39","1"
"2021","March","3","Belgium","64","64","1"
"2021","May","5","Belgium","5","69","2"
"2021","July","7","Belgium","392","461","1"
"2021","November","11","Belgium","12","473","1"
"2021","December","12","Belgium","500","973","1"
"2020","July","7","Belize","7","7","1"
"2020","August","8","Belize","1","8","1"
"2020","September","9","Belize","6","14","1"
"2020","November","11","Belize","275","289","3"
"2020","December","12","Belize","224","513","5"
"2021","January","1","Belize","52","565","1"
"2021","February","2","Belize","371","936","3"
"2021","March","3","Belize","64","1000","2"
"2021","April","4","Belize","58","1058","4"
"2021","May","5","Belize","72","1130","3"
"2021","August","8","Belize","19","1149","3"
"2021","October","10","Belize","11","1160","1"
"2021","November","11","Belize","2","1162","1"
"2021","December","12","Belize","59","1221","2"
"2020","August","8","Benin","76","76","2"
"2020","November","11","Benin","8","84","2"
"2020","December","12","Benin","19","103","2"
"2021","May","5","Benin","6","109","2"
"2021","August","8","Benin","22","131","1"
"2021","September","9","Benin","33","164","1"
"2021","October","10","Benin","209","373","1"
"2020","July","7","Bermuda","30","30","1"
"2020","August","8","Bermuda","20","50","1"
"2020","September","9","Bermuda","39","89","1"
"2020","November","11","Bermuda","171","260","2"
"2020","December","12","Bermuda","51","311","3"
"2021","January","1","Bermuda","17","328","1"
"2021","February","2","Bermuda","33","361","2"
"2021","March","3","Bermuda","4","365","1"
"2021","April","4","Bermuda","432","797","2"
"2021","September","9","Bermuda","32","829","2"
"2021","October","10","Bermuda","56","885","2"
"2021","December","12","Bermuda","32","917","1"
"2020","July","7","Bhutan","63","63","1"
"2020","August","8","Bhutan","43","106","1"
"2020","November","11","Bhutan","59","165","2"
"2020","December","12","Bhutan","141","306","1"
"2021","February","2","Bhutan","21","327","1"
"2021","March","3","Bhutan","55","382","1"
"2021","April","4","Bhutan","23","405","3"
"2021","May","5","Bhutan","62","467","2"
"2021","July","7","Bhutan","43","510","1"
"2021","August","8","Bhutan","148","658","2"
"2021","September","9","Bhutan","64","722","3"
"2021","December","12","Bhutan","66","788","1"
"2020","July","7","Bolivia","61","61","1"
"2020","August","8","Bolivia","14","75","2"
"2020","September","9","Bolivia","71","146","1"
"2020","October","10","Bolivia","4","150","1"
"2020","November","11","Bolivia","175","325","2"
"2020","December","12","Bolivia","22","347","1"
"2021","February","2","Bolivia","10","357","1"
"2021","April","4","Bolivia","15","372","2"
"2021","May","5","Bolivia","14","386","3"
"2021","August","8","Bolivia","11","397","1"
"2021","September","9","Bolivia","58","455","2"
"2021","November","11","Bolivia","31","486","1"
"2021","December","12","Bolivia","31","517","1"
"2020","July","7","Botswana","2","2","1"
"2020","August","8","Botswana","24","26","1"
"2020","December","12","Botswana","23","49","2"
"2021","March","3","Botswana","41","90","1"
"2021","April","4","Botswana","500","590","1"
"2021","May","5","Botswana","84","674","1"
"2021","October","10","Botswana","272","946","1"
"2021","December","12","Botswana","141","1087","1"
"2020","July","7","Bouvet Island (Bouvetoya)","33","33","1"
"2020","August","8","Bouvet Island (Bouvetoya)","108","141","1"
"2020","November","11","Bouvet Island (Bouvetoya)","10","151","1"
"2020","December","12","Bouvet Island (Bouvetoya)","129","280","1"
"2021","February","2","Bouvet Island (Bouvetoya)","117","397","1"
"2021","March","3","Bouvet Island (Bouvetoya)","61","458","1"
"2021","May","5","Bouvet Island (Bouvetoya)","16","474","1"
"2021","September","9","Bouvet Island (Bouvetoya)","37","511","1"
"2021","October","10","Bouvet Island (Bouvetoya)","17","528","1"
"2020","July","7","Brazil","25","25","1"
"2020","November","11","Brazil","22","47","3"
"2020","December","12","Brazil","84","131","2"
"2021","February","2","Brazil","19","150","1"
"2021","March","3","Brazil","88","238","2"
"2021","April","4","Brazil","500","738","2"
"2021","May","5","Brazil","105","843","2"
"2021","August","8","Brazil","48","891","2"
"2021","September","9","Brazil","25","916","1"
"2021","October","10","Brazil","34","950","1"
"2021","December","12","Brazil","20","970","2"
"2020","August","8","British Indian Ocean Territory (Chagos Archipelago)","58","58","2"
"2020","September","9","British Indian Ocean Territory (Chagos Archipelago)","30","88","1"
"2020","November","11","British Indian Ocean Territory (Chagos Archipelago)","5","93","2"
"2020","December","12","British Indian Ocean Territory (Chagos Archipelago)","20","113","1"
"2021","April","4","British Indian Ocean Territory (Chagos Archipelago)","57","170","1"
"2021","May","5","British Indian Ocean Territory (Chagos Archipelago)","62","232","1"
"2021","August","8","British Indian Ocean Territory (Chagos Archipelago)","53","285","1"
"2021","September","9","British Indian Ocean Territory (Chagos Archipelago)","419","704","2"
"2021","October","10","British Indian Ocean Territory (Chagos Archipelago)","160","864","1"
"2021","December","12","British Indian Ocean Territory (Chagos Archipelago)","60","924","1"
"2020","July","7","Brunei Darussalam","5","5","1"
"2020","August","8","Brunei Darussalam","219","224","3"
"2020","October","10","Brunei Darussalam","239","463","1"
"2020","November","11","Brunei Darussalam","66","529","9"
"2020","December","12","Brunei Darussalam","29","558","3"
"2021","February","2","Brunei Darussalam","23","581","1"
"2021","March","3","Brunei Darussalam","188","769","4"
"2021","April","4","Brunei Darussalam","145","914","2"
"2021","May","5","Brunei Darussalam","49","963","3"
"2021","August","8","Brunei Darussalam","16","979","1"
"2021","September","9","Brunei Darussalam","1","980","1"
"2021","October","10","Brunei Darussalam","230","1210","1"
"2021","November","11","Brunei Darussalam","2","1212","1"
"2021","December","12","Brunei Darussalam","66","1278","2"
"2020","July","7","Bulgaria","16","16","1"
"2020","August","8","Bulgaria","3","19","1"
"2020","November","11","Bulgaria","292","311","2"
"2020","December","12","Bulgaria","28","339","2"
"2021","January","1","Bulgaria","29","368","1"
"2021","February","2","Bulgaria","4","372","1"
"2021","March","3","Bulgaria","269","641","1"
"2021","April","4","Bulgaria","92","733","1"
"2021","May","5","Bulgaria","15","748","2"
"2021","December","12","Bulgaria","62","810","1"
"2020","November","11","Burkina Faso","136","136","2"
"2020","December","12","Burkina Faso","48","184","1"
"2021","January","1","Burkina Faso","6","190","1"
"2021","April","4","Burkina Faso","156","346","2"
"2021","May","5","Burkina Faso","158","504","4"
"2021","August","8","Burkina Faso","9","513","2"
"2021","October","10","Burkina Faso","104","617","1"
"2021","December","12","Burkina Faso","12","629","1"
"2020","July","7","Burundi","58","58","1"
"2020","August","8","Burundi","163","221","3"
"2020","November","11","Burundi","355","576","3"
"2020","December","12","Burundi","30","606","4"
"2021","January","1","Burundi","39","645","2"
"2021","February","2","Burundi","21","666","1"
"2021","March","3","Burundi","88","754","4"
"2021","April","4","Burundi","127","881","2"
"2021","May","5","Burundi","9","890","2"
"2021","August","8","Burundi","23","913","1"
"2021","September","9","Burundi","231","1144","2"
"2021","October","10","Burundi","148","1292","3"
"2021","November","11","Burundi","53","1345","2"
"2021","December","12","Burundi","500","1845","1"
"2020","July","7","Cambodia","86","86","2"
"2020","August","8","Cambodia","60","146","2"
"2020","November","11","Cambodia","229","375","2"
"2020","December","12","Cambodia","289","664","2"
"2021","February","2","Cambodia","34","698","1"
"2021","March","3","Cambodia","39","737","1"
"2021","April","4","Cambodia","485","1222","4"
"2021","May","5","Cambodia","6","1228","1"
"2021","June","6","Cambodia","19","1247","1"
"2021","October","10","Cambodia","45","1292","1"
"2021","December","12","Cambodia","3","1295","1"
"2020","July","7","Cameroon","98","98","4"
"2020","August","8","Cameroon","97","195","2"
"2020","September","9","Cameroon","6","201","1"
"2020","October","10","Cameroon","1","202","1"
"2020","November","11","Cameroon","71","273","2"
"2020","December","12","Cameroon","14","287","2"
"2021","January","1","Cameroon","80","367","1"
"2021","February","2","Cameroon","34","401","2"
"2021","March","3","Cameroon","137","538","3"
"2021","May","5","Cameroon","8","546","1"
"2021","August","8","Cameroon","194","740","2"
"2021","September","9","Cameroon","26","766","4"
"2021","October","10","Cameroon","125","891","2"
"2021","November","11","Cameroon","21","912","2"
"2021","December","12","Cameroon","1","913","1"
"2020","July","7","Canada","51","51","2"
"2020","August","8","Canada","131","182","3"
"2020","November","11","Canada","68","250","4"
"2020","December","12","Canada","29","279","1"
"2021","March","3","Canada","18","297","2"
"2021","April","4","Canada","11","308","2"
"2021","May","5","Canada","213","521","3"
"2021","June","6","Canada","77","598","1"
"2021","August","8","Canada","13","611","1"
"2021","October","10","Canada","25","636","1"
"2021","November","11","Canada","59","695","1"
"2021","December","12","Canada","59","754","2"
"2020","July","7","Cape Verde","53","53","2"
"2020","November","11","Cape Verde","198","251","1"
"2020","December","12","Cape Verde","6","257","1"
"2021","February","2","Cape Verde","13","270","1"
"2021","March","3","Cape Verde","500","770","2"
"2021","April","4","Cape Verde","8","778","1"
"2021","July","7","Cape Verde","2","780","1"
"2021","August","8","Cape Verde","26","806","2"
"2021","October","10","Cape Verde","2","808","1"
"2021","November","11","Cape Verde","342","1150","1"
"2021","December","12","Cape Verde","16","1166","1"
"2020","August","8","Cayman Islands","162","162","1"
"2020","November","11","Cayman Islands","46","208","2"
"2020","December","12","Cayman Islands","85","293","1"
"2021","January","1","Cayman Islands","9","302","1"
"2021","March","3","Cayman Islands","1","303","1"
"2021","May","5","Cayman Islands","13","316","1"
"2021","June","6","Cayman Islands","23","339","2"
"2021","September","9","Cayman Islands","185","524","1"
"2021","April","4","Central African Republic","37","37","1"
"2021","May","5","Central African Republic","3","40","1"
"2021","September","9","Central African Republic","1","41","1"
"2020","July","7","Chad","113","113","1"
"2020","November","11","Chad","44","157","2"
"2020","December","12","Chad","321","478","2"
"2021","January","1","Chad","33","511","1"
"2021","March","3","Chad","497","1008","1"
"2021","April","4","Chad","28","1036","2"
"2021","September","9","Chad","75","1111","1"
"2020","July","7","Chile","64","64","2"
"2020","August","8","Chile","37","101","1"
"2020","December","12","Chile","130","231","1"
"2021","February","2","Chile","18","249","1"
"2021","August","8","Chile","45","294","1"
"2021","September","9","Chile","1","295","1"
"2020","August","8","China","24","24","1"
"2020","November","11","China","66","90","2"
"2020","December","12","China","44","134","1"
"2020","July","7","Christmas Island","41","41","2"
"2020","August","8","Christmas Island","82","123","2"
"2020","November","11","Christmas Island","500","623","4"
"2020","December","12","Christmas Island","3","626","2"
"2021","January","1","Christmas Island","40","666","1"
"2021","February","2","Christmas Island","41","707","2"
"2021","March","3","Christmas Island","264","971","2"
"2021","April","4","Christmas Island","313","1284","2"
"2021","May","5","Christmas Island","97","1381","5"
"2021","July","7","Christmas Island","25","1406","1"
"2021","August","8","Christmas Island","31","1437","1"
"2021","October","10","Christmas Island","38","1475","3"
"2021","November","11","Christmas Island","104","1579","1"
"2021","December","12","Christmas Island","123","1702","3"
"2022","January","1","Christmas Island","208","1910","1"
"2020","July","7","Cocos (Keeling) Islands","50","50","3"
"2020","August","8","Cocos (Keeling) Islands","14","64","2"
"2020","November","11","Cocos (Keeling) Islands","25","89","3"
"2020","December","12","Cocos (Keeling) Islands","57","146","3"
"2021","February","2","Cocos (Keeling) Islands","9","155","2"
"2021","March","3","Cocos (Keeling) Islands","239","394","5"
"2021","April","4","Cocos (Keeling) Islands","21","415","1"
"2021","May","5","Cocos (Keeling) Islands","22","437","2"
"2021","July","7","Cocos (Keeling) Islands","144","581","1"
"2021","August","8","Cocos (Keeling) Islands","305","886","2"
"2021","September","9","Cocos (Keeling) Islands","15","901","1"
"2021","October","10","Cocos (Keeling) Islands","58","959","2"
"2021","November","11","Cocos (Keeling) Islands","24","983","1"
"2021","December","12","Cocos (Keeling) Islands","39","1022","3"
"2020","July","7","Colombia","49","49","2"
"2020","August","8","Colombia","25","74","1"
"2020","November","11","Colombia","55","129","3"
"2020","December","12","Colombia","24","153","2"
"2021","February","2","Colombia","33","186","1"
"2021","March","3","Colombia","406","592","2"
"2021","April","4","Colombia","13","605","1"
"2021","May","5","Colombia","95","700","3"
"2021","June","6","Colombia","38","738","1"
"2021","August","8","Colombia","6","744","1"
"2021","October","10","Colombia","20","764","1"
"2021","November","11","Colombia","1","765","1"
"2020","August","8","Comoros","216","216","2"
"2020","November","11","Comoros","142","358","4"
"2020","December","12","Comoros","89","447","4"
"2021","March","3","Comoros","130","577","2"
"2021","August","8","Comoros","86","663","1"
"2021","September","9","Comoros","23","686","2"
"2021","October","10","Comoros","128","814","1"
"2021","December","12","Comoros","5","819","2"
"2020","July","7","Congo","50","50","1"
"2020","August","8","Congo","29","79","1"
"2020","September","9","Congo","29","108","1"
"2020","November","11","Congo","52","160","2"
"2020","December","12","Congo","17","177","1"
"2021","March","3","Congo","123","300","2"
"2021","April","4","Congo","36","336","2"
"2021","May","5","Congo","1","337","1"
"2021","August","8","Congo","144","481","3"
"2021","September","9","Congo","152","633","1"
"2021","October","10","Congo","213","846","1"
"2020","July","7","Cook Islands","62","62","1"
"2020","August","8","Cook Islands","36","98","2"
"2020","November","11","Cook Islands","14","112","2"
"2020","December","12","Cook Islands","133","245","1"
"2021","April","4","Cook Islands","87","332","5"
"2021","May","5","Cook Islands","22","354","1"
"2021","August","8","Cook Islands","268","622","1"
"2021","October","10","Cook Islands","88","710","1"
"2021","December","12","Cook Islands","28","738","1"
"2020","August","8","Cote d'Ivoire","25","25","1"
"2020","September","9","Cote d'Ivoire","107","132","1"
"2020","November","11","Cote d'Ivoire","126","258","2"
"2020","December","12","Cote d'Ivoire","86","344","3"
"2021","March","3","Cote d'Ivoire","40","384","2"
"2021","April","4","Cote d'Ivoire","165","549","3"
"2021","May","5","Cote d'Ivoire","25","574","3"
"2021","September","9","Cote d'Ivoire","18","592","2"
"2020","November","11","Croatia","126","126","2"
"2020","December","12","Croatia","213","339","2"
"2021","February","2","Croatia","68","407","1"
"2021","March","3","Croatia","174","581","2"
"2021","April","4","Croatia","19","600","1"
"2021","May","5","Croatia","7","607","1"
"2021","August","8","Croatia","15","622","1"
"2020","July","7","Cuba","112","112","2"
"2020","November","11","Cuba","367","479","4"
"2020","December","12","Cuba","88","567","2"
"2021","January","1","Cuba","15","582","1"
"2021","March","3","Cuba","122","704","3"
"2021","April","4","Cuba","28","732","2"
"2021","May","5","Cuba","21","753","1"
"2021","July","7","Cuba","4","757","1"
"2021","September","9","Cuba","307","1064","3"
"2021","November","11","Cuba","8","1072","2"
"2021","December","12","Cuba","376","1448","2"
"2020","July","7","Cyprus","9","9","1"
"2020","August","8","Cyprus","187","196","1"
"2020","November","11","Cyprus","450","646","2"
"2020","December","12","Cyprus","293","939","1"
"2021","January","1","Cyprus","27","966","1"
"2021","February","2","Cyprus","20","986","1"
"2021","September","9","Cyprus","24","1010","1"
"2020","July","7","Czech Republic","91","91","2"
"2020","August","8","Czech Republic","155","246","1"
"2020","November","11","Czech Republic","62","308","3"
"2020","December","12","Czech Republic","105","413","2"
"2021","March","3","Czech Republic","155","568","2"
"2021","April","4","Czech Republic","29","597","1"
"2021","May","5","Czech Republic","78","675","4"
"2021","August","8","Czech Republic","48","723","3"
"2021","November","11","Czech Republic","204","927","1"
"2020","September","9","Democratic People's Republic of Korea","11","11","1"
"2020","November","11","Democratic People's Republic of Korea","143","154","1"
"2021","January","1","Democratic People's Republic of Korea","110","264","1"
"2021","March","3","Democratic People's Republic of Korea","43","307","1"
"2021","May","5","Democratic People's Republic of Korea","103","410","3"
"2021","August","8","Democratic People's Republic of Korea","8","418","1"
"2021","October","10","Democratic People's Republic of Korea","128","546","1"
"2021","December","12","Democratic People's Republic of Korea","156","702","2"
"2020","July","7","Denmark","2","2","2"
"2020","August","8","Denmark","186","188","3"
"2020","November","11","Denmark","81","269","3"
"2020","December","12","Denmark","294","563","1"
"2021","January","1","Denmark","39","602","1"
"2021","February","2","Denmark","12","614","1"
"2021","March","3","Denmark","33","647","2"
"2021","April","4","Denmark","124","771","1"
"2021","May","5","Denmark","139","910","6"
"2021","August","8","Denmark","10","920","1"
"2021","September","9","Denmark","47","967","3"
"2021","October","10","Denmark","232","1199","2"
"2021","November","11","Denmark","27","1226","2"
"2021","December","12","Denmark","283","1509","2"
"2020","July","7","Djibouti","381","381","2"
"2020","August","8","Djibouti","25","406","1"
"2020","November","11","Djibouti","7","413","2"
"2020","December","12","Djibouti","42","455","1"
"2021","March","3","Djibouti","111","566","1"
"2021","April","4","Djibouti","151","717","2"
"2021","May","5","Djibouti","6","723","3"
"2021","August","8","Djibouti","19","742","1"
"2021","September","9","Djibouti","85","827","1"
"2021","October","10","Djibouti","2","829","2"
"2021","November","11","Djibouti","2","831","1"
"2021","December","12","Djibouti","500","1331","2"
"2020","July","7","Dominica","120","120","2"
"2020","August","8","Dominica","48","168","1"
"2020","September","9","Dominica","141","309","1"
"2020","November","11","Dominica","16","325","2"
"2020","December","12","Dominica","266","591","2"
"2021","February","2","Dominica","22","613","1"
"2021","March","3","Dominica","164","777","2"
"2021","April","4","Dominica","294","1071","3"
"2021","May","5","Dominica","1","1072","1"
"2021","August","8","Dominica","17","1089","1"
"2021","September","9","Dominica","198","1287","1"
"2021","October","10","Dominica","366","1653","2"
"2021","September","9","Dominican Republic","93","93","1"
"2021","December","12","Dominican Republic","1","94","1"
"2020","July","7","Ecuador","74","74","3"
"2020","August","8","Ecuador","53","127","2"
"2020","November","11","Ecuador","164","291","4"
"2020","December","12","Ecuador","500","791","3"
"2021","March","3","Ecuador","1","792","1"
"2021","April","4","Ecuador","111","903","1"
"2021","May","5","Ecuador","316","1219","4"
"2021","August","8","Ecuador","500","1719","1"
"2021","September","9","Ecuador","210","1929","3"
"2021","October","10","Ecuador","25","1954","1"
"2021","November","11","Ecuador","169","2123","4"
"2021","December","12","Ecuador","39","2162","1"
"2020","November","11","Egypt","4","4","1"
"2021","January","1","Egypt","2","6","1"
"2021","May","5","Egypt","4","10","1"
"2021","November","11","Egypt","26","36","1"
"2021","December","12","Egypt","12","48","1"
"2020","November","11","El Salvador","218","218","1"
"2020","December","12","El Salvador","2","220","1"
"2021","May","5","El Salvador","40","260","1"
"2020","July","7","Equatorial Guinea","3","3","2"
"2020","August","8","Equatorial Guinea","95","98","3"
"2020","November","11","Equatorial Guinea","133","231","3"
"2020","December","12","Equatorial Guinea","10","241","1"
"2021","February","2","Equatorial Guinea","144","385","2"
"2021","March","3","Equatorial Guinea","25","410","2"
"2021","April","4","Equatorial Guinea","40","450","3"
"2021","May","5","Equatorial Guinea","21","471","1"
"2021","September","9","Equatorial Guinea","2","473","1"
"2021","October","10","Equatorial Guinea","19","492","1"
"2021","November","11","Equatorial Guinea","168","660","2"
"2020","August","8","Eritrea","47","47","3"
"2020","October","10","Eritrea","226","273","1"
"2020","November","11","Eritrea","107","380","5"
"2020","December","12","Eritrea","1","381","1"
"2021","February","2","Eritrea","3","384","3"
"2021","March","3","Eritrea","44","428","1"
"2021","May","5","Eritrea","70","498","2"
"2021","July","7","Eritrea","118","616","1"
"2021","August","8","Eritrea","77","693","2"
"2021","September","9","Eritrea","500","1193","2"
"2021","October","10","Eritrea","1","1194","1"
"2020","July","7","Estonia","33","33","1"
"2020","August","8","Estonia","147","180","2"
"2020","September","9","Estonia","23","203","1"
"2020","November","11","Estonia","51","254","4"
"2020","December","12","Estonia","117","371","7"
"2021","February","2","Estonia","30","401","2"
"2021","March","3","Estonia","6","407","2"
"2021","May","5","Estonia","116","523","6"
"2021","August","8","Estonia","7","530","1"
"2021","September","9","Estonia","232","762","4"
"2021","October","10","Estonia","50","812","1"
"2021","November","11","Estonia","32","844","1"
"2021","December","12","Estonia","202","1046","2"
"2020","August","8","Ethiopia","85","85","1"
"2020","November","11","Ethiopia","14","99","1"
"2020","December","12","Ethiopia","2","101","1"
"2021","February","2","Ethiopia","224","325","2"
"2021","March","3","Ethiopia","23","348","1"
"2021","April","4","Ethiopia","16","364","1"
"2021","October","10","Ethiopia","25","389","2"
"2020","July","7","Falkland Islands (Malvinas)","19","19","2"
"2020","August","8","Falkland Islands (Malvinas)","109","128","2"
"2020","November","11","Falkland Islands (Malvinas)","13","141","3"
"2020","December","12","Falkland Islands (Malvinas)","101","242","3"
"2021","January","1","Falkland Islands (Malvinas)","1","243","1"
"2021","February","2","Falkland Islands (Malvinas)","1","244","1"
"2021","March","3","Falkland Islands (Malvinas)","30","274","1"
"2021","April","4","Falkland Islands (Malvinas)","407","681","3"
"2021","May","5","Falkland Islands (Malvinas)","47","728","1"
"2021","August","8","Falkland Islands (Malvinas)","30","758","1"
